"caption","commentsCount","likesCount","ownerUsername","timestamp","type","url","videoDuration","videoPlayCount","videoUrl","videoViewCount","allTaggedUsernames","allMentions","allHashtags"
"Eine ungewöhnliche Wetterlage über Deutschland sorgt derzeit dafür, dass Schadstoffe in der Luft nicht abziehen können. Es gebe wenig Austausch zwischen den Luftschichten, deswegen sammele sich Feinstaub in den Niederungen an, wie der Deutsche Wetterdienst informierte. Das bedeutet an vielen Orten schlechte Luft. In zahlreichen Orten in der Südhälfte Deutschlands wurden am Samstag erhöhte Werte des gesundheitsgefährdenden Feinstaubs gemessen. Im bayerischen Kempten etwa waren es 35 Mikrogramm pro Kubikmeter. Auch in Teilen von München, Würzburg sowie im baden-württembergischen Tübingen sowie in Dresden lagen die Werte über dem Grenzwert von 25 Mikrogramm. Das zeigen Daten des Umweltbundesamtes. 

Nach Angaben des Deutschen Wetterdienstes (DWD) könnte die sogenannte Inversionswetterlage in Teilen des Landes noch bis in die Silvesternacht anhalten. Dann würde der gesundheitsgefährdende Feinstaub, der durch das Abbrennen von Feuerwerk entsteht, nicht nach oben entweichen können. 

Dem Umweltbundesamt zufolge werden Tonnen von Feinstaub durch das Abbrennen von Feuerwerkskörpern freigesetzt – in nur einer Nacht etwa ein Prozent der gesamten in einem Jahr freigesetzten Feinstaubmenge in Deutschland. Die Belastung durch schlechte Luft sei in der Silvesternacht vielerorts so hoch wie sonst im ganzen Jahr nicht. 

Tierschutzorganisationen bitten indes, zumindest in der Nähe von Wäldern und Feldern sowie in Parks und an Gewässern darauf zu verzichten. Denn dort lebten Wildtiere, die aus ihrer Ruhe gerissen würden. Vor allem Vögel reagierten stark auf Böller und Raketen, aber auch Rehe und Hirsche würden gestresst. 

#schadstoffe #wetterlage #nachrichten #news #tagesschau",239,14889,"tagesschau","2024-12-29T12:00:17.000Z","Sidecar","https://www.instagram.com/p/DEKVeCxBcsp/",NA,NA,"",NA,"","","schadstoffe,wetterlage,nachrichten,news,tagesschau"
"Die Weltgesundheitsorganisation (WHO) hat den jüngsten israelischen Militäreinsatz in einer Klinik im Gazastreifen scharf kritisiert. Das Kamal-Adwan-Krankenhaus sei die letzte größere Gesundheitseinrichtung im Norden des Küstenstreifens gewesen und sei nun außer Betrieb, teilte die WHO auf X mit. Erste Berichte deuteten darauf hin, dass einige wichtige Abteilungen bei der Razzia stark verbrannt und zerstört worden seien. 

Patient:innen in mittelschwerem bis schwerem Zustand seien ins zerstörte und nicht funktionstüchtige Indonesische Krankenhaus verlegt worden. Die Weltgesundheitsorganisation mache sich „große Sorgen um ihre Sicherheit“. 

Die von der Terrororganisation Hamas kontrollierte Gesundheitsbehörde im Gazastreifen berichtete zudem von Festnahmen. Der Krankenhausdirektor Hussam Abu Safeia und Dutzende weitere Mitarbeitende der Klinik seien für Verhöre in eine Einrichtung gebracht worden, teilte die Behörde mit. Einige Mitarbeiter:innen seien inzwischen wieder frei, der Klinikchef werde noch festgehalten. 

Die Angaben beider Seiten lassen sich nicht unabhängig überprüfen. Israels Militär war bereits mehrmals in Kliniken in Gaza im Einsatz. Israel beschuldigt die Hamas, Zivilist:innen als Schutzschilde und zivile Einrichtungen wie Krankenhäuser und Schulgebäude für ihre Infrastruktur zu nutzen, unter anderem als Kommandozentralen und Waffenlager. 

#israel #hamas #krankenhaus #gaza #tagesschau #nachrichten",2234,56463,"tagesschau","2024-12-28T16:00:14.000Z","Sidecar","https://www.instagram.com/p/DEIMIsGon8Y/",NA,NA,"",NA,"","","israel,hamas,krankenhaus,gaza,tagesschau,nachrichten"
"Somalia hat ein Verbot für die Einfuhr, den Handel und die Verwendung von Plastiktüten erlassen. Das Land schließt sich damit anderen afrikanischen Staaten an, die gegen die Verwendung von leichten Einweg-Plastiktüten vorgehen.
#somalia #plastik #tagesschau #news #nachrichten",183,19356,"tagesschau","2024-12-28T21:27:11.000Z","Video","https://www.instagram.com/p/DEIxacsI8MO/",57.212,1113069,"https://instagram.fupg6-1.fna.fbcdn.net/o1/v/t16/f2/m86/AQPAoNjmd9FXMSiHKce0Imtz1gRZjHjQ86TRkIAB1kCGnAQw42grixyveV-yjbQC-WMX94Lmi1_uL5Dak0EX6vR0FABKJ6EkhJQsc7Q.mp4?stp=dst-mp4&efg=eyJxZV9ncm91cHMiOiJbXCJpZ193ZWJfZGVsaXZlcnlfdnRzX290ZlwiXSIsInZlbmNvZGVfdGFnIjoidnRzX3ZvZF91cmxnZW4uY2xpcHMuYzIuNzIwLmJhc2VsaW5lIn0&_nc_cat=103&vs=538379452523971_1834127371&_nc_vs=HBksFQIYUmlnX3hwdl9yZWVsc19wZXJtYW5lbnRfc3JfcHJvZC81OTQ5RkUzRTVDMjY2NEI0MkUzNzEyQzY3NzNGOEZBQ192aWRlb19kYXNoaW5pdC5tcDQVAALIAQAVAhg6cGFzc3Rocm91Z2hfZXZlcnN0b3JlL0dKR3dJUnc5czFwbmppOERBQmM5VEVWRlJ3Y0xicV9FQUFBRhUCAsgBACgAGAAbABUAACaSnY76uNPUQRUCKAJDMywXQEyZmZmZmZoYEmRhc2hfYmFzZWxpbmVfMV92MREAdf4HAA%3D%3D&_nc_rid=4e79848b7b&ccb=9-4&oh=00_AYDALqDGst26d38H1mcDWByB0MLLvvZHpEanKfI9cWLziQ&oe=67732508&_nc_sid=10d13b",285916,"","","somalia,plastik,tagesschau,news,nachrichten"
"Bei der Landung am internationalen Flughafen von Muan in Südkorea ist ein aus Thailand kommendes Passagierflugzeug mit 181 Menschen an Bord verunglückt. Wie die amtliche Nachrichtenagentur Yonhap unter Berufung von Retter:innen berichtet, überlebten nur zwei Insassen. (UPDATE) Die Behörden sprechen bisher von mindestens 151 Todesopfern. Damit würde es sich um eines der schwersten Flugzeugunglücke seit Jahren handeln. 

Die Maschine mit 175 Passagieren und sechs Crewmitgliedern war über die Landebahn hinausgeschossen und am Ende der Piste in einen Zaun gekracht. Laut Yonhap befanden sich unter den Passagier:innen 173 koreanische und zwei thailändische Staatsbürger:innen. 

Auf einem im südkoreanischen Fernsehen gezeigten Video war die Boeing 737-800 zu sehen, wie sie ohne ausgeklapptes Fahrwerk über die Landebahn schlittert, am Ende der Strecke zerschellt und in Flammen aufgeht. 

Yonhap berichtete unter Berufung auf die Behörden, dass ein Vogelschlag – also eine Kollision mit einem oder mehreren Vögeln – zu einer Fehlfunktion am Fahrwerk geführt haben könnte. Mehrere Augenzeug:innen am Boden berichteten laut Yonhap, Flammen an einer der Turbinen gesehen und mehrere Knallgeräusche gehört zu haben. Die Ermittlungen zur Unglücksursache laufen noch. 

Die Maschine der koreanischen Billigfluglinie Jeju Air war aus der thailändischen Hauptstadt Bangkok gekommen. Jeju Air wurde 2005 gegründet. Die Airline bietet zahlreiche Inlandsverbindungen sowie Flüge nach Japan, Thailand und auf die Philippinen an. Airline-Chef Kim E Bae entschuldigte sich für den Absturz. Er werde mit den Behörden bei der Aufklärung des Unglücks zusammenarbeiten. 

#flugzeug #südkorea #unglück #tagesschau #nachrichten #news",437,80018,"tagesschau","2024-12-29T07:47:05.000Z","Sidecar","https://www.instagram.com/p/DEJ4fhuuviw/",NA,NA,"",NA,"","","flugzeug,südkorea,unglück,tagesschau,nachrichten,news"
"Heute startet der Verkauf von Böllern und Raketen im Handel. Von den einen wird der laute
Jahreswechsel geliebt – andere können darauf verzichten. Dazu unser Pro und Contra.
#silvester #raketen #feuerwerk #tagesschau #nachrichten",824,10546,"tagesschau","2024-12-28T18:12:12.000Z","Video","https://www.instagram.com/p/DEIbH05IwYZ/",95.56,769493,"https://scontent-ord5-3.cdninstagram.com/o1/v/t16/f2/m86/AQM8EX1FrYwcidR0Z4nlZ4lM24W03dXkW7TVN5pQVmFzp6b5H451In-0EjOOKeNvbVtxe3tI9glgtiC7jJGcGMnk1KNlWUVTtsVqD7s.mp4?stp=dst-mp4&efg=eyJxZV9ncm91cHMiOiJbXCJpZ193ZWJfZGVsaXZlcnlfdnRzX290ZlwiXSIsInZlbmNvZGVfdGFnIjoidnRzX3ZvZF91cmxnZW4uY2xpcHMuYzIuNzIwLmJhc2VsaW5lIn0&_nc_cat=109&vs=1573129606666831_1772177378&_nc_vs=HBksFQIYUmlnX3hwdl9yZWVsc19wZXJtYW5lbnRfc3JfcHJvZC8wNTQ2RTEzQzEzRkZBMDlFOEEzQzNEOTlEQ0YwM0U4OF92aWRlb19kYXNoaW5pdC5tcDQVAALIAQAVAhg6cGFzc3Rocm91Z2hfZXZlcnN0b3JlL0dMUHpIeHlUanh0enE5TURBTlI5dWdLcTFjUm1icV9FQUFBRhUCAsgBACgAGAAbABUAACbA49Oipd%2BAQBUCKAJDMywXQFfj1wo9cKQYEmRhc2hfYmFzZWxpbmVfMV92MREAdf4HAA%3D%3D&_nc_rid=7078f58e68&ccb=9-4&oh=00_AYBza3wpf23GxTumWgkWt7JBjNPHVB3tzpN1YAgaR7VvIA&oe=677327BC&_nc_sid=10d13b",133053,"","","silvester,raketen,feuerwerk,tagesschau,nachrichten"
"In der Debatte um Ungerechtigkeiten bei der Terminvergabe in Arztpraxen wehrt sich die Kassenärztliche Bundesvereinigung (KBV) gegen Kritik, dass Kassenpatient:innen lange auf Termine warten müssten. „Für viele Hauspraxen gilt das nicht, sie bieten Akut-Sprechzeiten an“, sagte der KBV-Vorsitzende Andreas Gassen der Rheinischen Post. Echte Notfälle würden „entgegen aller Stimmungsmache hierzulande sofort versorgt“. Ein aktuelles Wahlversprechen der SPD, durch eine Termingarantie Unterschiede zwischen privat und gesetzlich Versicherten in dem Punkt abzuschaffen, nannte Gassen populistischen Blödsinn. 

Der Sprecher des Spitzenverbands Bund der Krankenkassen, Florian Lanz, erklärte, beim Klicken auf Online-Buchungsportale könne man private Krankenversicherung oder gesetzliche Krankenversicherung anklicken und so selbst überprüfen, ob die Terminvergabe fair und gleich sei oder nicht. Eugen Brysch, Vorstand der Stiftung Patientenschutz, bezeichnete das Problem als „noch größer“. Nicht alle Praxen seien online überhaupt erreichbar. Mitunter müssten Patientinnen und Patienten persönlich in die Praxis laufen, um einen Termin zu bekommen. Privatpatientinnen und -patienten bekämen ihn oft schneller. 

 
#Arzttermin #Gesundheit #Lauterbach #Gassen #tagesschau",923,39825,"tagesschau","2024-12-28T17:05:26.000Z","Sidecar","https://www.instagram.com/p/DEITmI_ot5W/",NA,NA,"",NA,"","","Arzttermin,Gesundheit,Lauterbach,Gassen,tagesschau"
"Die Veröffentlichung eines Gastbeitrags von US-Milliardär Elon Musk mit einem Wahlaufruf für die AfD in der „Welt am Sonntag“ hat heftige Kritik ausgelöst. Die Meinungschefin der „Welt"" reichte am Samstag wegen der Veröffentlichung ihre Kündigung ein. Der Deutsche Journalisten-Verband protestierte „gegen den Freifahrtschein für Musk durch die Redaktionsverantwortlichen (…)“, per Gastbeitrag Wahlwerbung für die AfD machen zu dürfen. 

Bereits Anfang der Woche hatte ein Beitrag von Musk auf dessen Onlinedienst X für Schlagzeilen gesorgt, in dem er schrieb, nur die AfD könne „Deutschland retten.“ In seinem Gastbeitrag für die „Welt am Sonntag“ führte der Chef des Onlinedienstes X aus, angesichts eines angeblich bevorstehenden „wirtschaftlichen und kulturellen Zusammenbruchs“ Deutschlands sei die AfD „der letzte Funke Hoffnung für dieses Land“, da nur sie die deutsche Wirtschaft wiederbeleben oder durch eine „kontrollierte Einwanderungspolitik“ einen Identitätsverlust verhindern könne. 

Obwohl Musks Beitrag eine Gegenrede des designierten „Welt“-Chefredakteurs Jan Philipp Burgard gegenübergestellt war, löste die Veröffentlichung scharfe Kritik aus. „Als Journalismus verpackte Wahlwerbung für eine rechtsextreme Partei, eine schmeichelnde Distanzierung, die keine ist, und das Kaltstellen der redaktionsinternen Kritiker - unglaublich!“, kritisierte der DJV-Bundesvorsitzende Mika Beuster. 

#musk #weltamsonntag #afd #gastbeitrag #tagesschau #nachrichten",3028,84187,"tagesschau","2024-12-29T10:30:08.000Z","Sidecar","https://www.instagram.com/p/DEKLJxAo3e4/",NA,NA,"",NA,"","","musk,weltamsonntag,afd,gastbeitrag,tagesschau,nachrichten"
"Am Mittwoch stürzte ein aserbaidschanisches Passagierflugzeug ab. Nun hat sich Russlands Präsident Putin bei seinem aserbaidschanischen Amtskollegen Aliyev entschuldigt. 

Nach Angaben von Putin war die russische Luftverteidigung in Tschetschenien aktiv, als das Flugzeug in Grosny landen wollte. Grosny sei von ukrainischen Drohnen angegriffen worden und die Flugabwehr hätte diese abgewehrt, sagte Putin. „Wladimir Putin entschuldigte sich dafür, dass sich der tragische Vorfall im russischen Luftraum ereignete“, teilte der Kreml nach einem Telefonat der beiden mit. 

Putin äußerte sich demnach nicht dazu, ob russische Raketen das Zivilflugzeug trafen. Aserbaidschan, die US-Regierung und viele Militärexpert:innen führten den Vorfall auf Waffeneinsatz zurück. Darauf deuten unter anderem Löcher im Rumpf sowie die Berichte von Überlebenden hin. 

In der Mitteilung des Kreml hieß es, russische Ermittler:innen hätten ein Verfahren wegen Verstoßes gegen die Regeln für die Sicherheit des Flugverkehrs eingeleitet. 

Das Flugzeug war im aserbaidschanischen Baku gestartet und sollte nach Grosny in der russischen Kaukasusrepublik Tschetschenien fliegen. Die Maschine flog trotz ihrer Schäden über das Kaspische Meer. Bei der versuchten Landung in Aktau in Kasachstan stürzte sie ab. 38 Menschen starben, die anderen 29 Insass:innen überlebten verletzt. 

#kasachstan #aserbaidschan #russland #tagesschau #nachrichten #flugzeug",1036,91145,"tagesschau","2024-12-28T19:43:12.000Z","Sidecar","https://www.instagram.com/p/DEIlptWInGr/",NA,NA,"",NA,"","","kasachstan,aserbaidschan,russland,tagesschau,nachrichten,flugzeug"
"Tonlose Videoaufnahmen aus einem Gefängnis im US-Bundestaat New York zeigen, wie der Schwarze Häftling Robert Brooks über zwei Stunden lang von weißen Wärtern verprügelt wird. Brooks trägt Handschellen. Seine Hände sind hinter dem Rücken fixiert. 

Zu sehen ist u. a., wie der 43-Jährige von einem Uniformierten mehrfach ins Gesicht geschlagen wird und benommen liegen bleibt. Ein anderer zerrt ihn im Würgegriff wieder in die Höhe. Ein Dritter drischt mit seiner Faust und einem Schuh auf ihn ein. Brooks leistet keinen Widerstand.  Niemand schreitet ein. Später liegt Brooks regungslos und nur noch in Unterhose auf dem Rücken, während ihn eine Pflegekraft zu behandeln scheint. 

Brooks wurde am nächsten Morgen in einem Krankenhaus für tot erklärt. Das offizielle Obduktionsergebnis steht den Ermittlungsbehörden zufolge noch aus. 

Die Empörung über den Vorfall ist groß. Der Gewaltexzess befeuert die Debatte über Rassismus im US-Strafvollzug. Denn: Die Wächter sind alle weiß. Der „New York Times“ zufolge sind die meisten Häftlinge in der Justizvollzugsanstalt Marcy Schwarze und Latinos. Mehr als 90 Prozent der Bediensteten seien weiß. 

#usa #rassismus #nachrichten #tagesschau",2350,153695,"tagesschau","2024-12-28T14:30:11.000Z","Sidecar","https://www.instagram.com/p/DEIB1JbvnCb/",NA,NA,"",NA,"","","usa,rassismus,nachrichten,tagesschau"
"Vor zwei Jahren sorgten die Ereignisse in der Berliner Silvesternacht bundesweit für Debatten. Rettungskräfte wurden damals mit Böllern und Feuerwerk angegriffen. Sogenannte Kiezmanager leisten in Berlin nun Aufklärungsarbeit – einer von ihnen ist Ali Khattab. 

#Silvester #Berlin #Rettungskräfte #tagesschau",1514,63659,"tagesschau","2024-12-29T06:34:19.000Z","Video","https://www.instagram.com/p/DEJwF8DKwrL/",73.92,2648878,"https://instagram.fvin2-1.fna.fbcdn.net/o1/v/t16/f2/m86/AQMNr_a6eZ4bd8Btx57oPpMzWRs-Sae60TjbB_YQYvsH3z8QFnhLgPy50wx3Ikrc5yQcjnzMeiJZXL8h3oIMxAwV5b2eNxIqFGU1Omc.mp4?stp=dst-mp4&efg=eyJxZV9ncm91cHMiOiJbXCJpZ193ZWJfZGVsaXZlcnlfdnRzX290ZlwiXSIsInZlbmNvZGVfdGFnIjoidnRzX3ZvZF91cmxnZW4uY2xpcHMuYzIuNzIwLmJhc2VsaW5lIn0&_nc_cat=110&vs=945289964203856_2014012984&_nc_vs=HBksFQIYUmlnX3hwdl9yZWVsc19wZXJtYW5lbnRfc3JfcHJvZC8xODRBQkFGNTZCM0IzOTYwQUVGQTA0QUUyRDNEQTQ4Q192aWRlb19kYXNoaW5pdC5tcDQVAALIAQAVAhg6cGFzc3Rocm91Z2hfZXZlcnN0b3JlL0dOQTlHUno1UGE1UnFhUUVBQkoyVDduREtybFZicV9FQUFBRhUCAsgBACgAGAAbABUAACbCuMGU%2B4%2FSPxUCKAJDMywXQFJ1wo9cKPYYEmRhc2hfYmFzZWxpbmVfMV92MREAdf4HAA%3D%3D&_nc_rid=d404be8836&ccb=9-4&oh=00_AYCIvuIzc6l1LB_b5oxOk4GjzTbjICl5er2oecXW-VblFQ&oe=67732928&_nc_sid=10d13b",969138,"","","Silvester,Berlin,Rettungskräfte,tagesschau"
